ZCTA,Total_Case_Rate
10001,5381.52
10002,7082.87
10003,5063.17
10004,8108.699999999999
10005,5858.009999999998
10006,4790.34
10007,5535.33
10009,6157.3499999999985
10010,4497.360000000001
10011,4587.280000000001
10012,5247.910000000001
10013,5607.480000000001
10014,4588.610000000001
10016,5613.61
10017,5078.990000000002
10018,4588.42
10019,4919.310000000001
10021,3690.4400000000005
10022,4149.380000000001
10023,3682.28
10024,3665.3300000000004
10025,4390.96
10026,5364.119999999999
10027,5058.800000000001
10028,4002.53
10029,6458.290000000001
10030,5999.359999999999
10031,6363.579999999999
10032,6275.860000000001
10033,6476.6399999999985
10034,6881.8
10035,6506.800000000001
10036,5902.6100000000015
10037,5559.46
10038,5379.5
10039,5768.800000000001
10040,6889.349999999999
10044,3247.1299999999997
10065,4204.45
10069,5410.0999999999985
10075,5163.9
10128,4562.9400000000005
10280,3873.2200000000003
10282,2835.62
10301,8315.150000000001
10302,10711.400000000001
10303,9108.86
10304,9422.999999999998
10305,9597.2
10306,11483.35
10307,10716.109999999999
10308,10080.22
10309,11678.96
10310,10020.66
10312,10543.339999999998
10314,9462.42
10451,8033.0
10452,8046.54
10453,7988.29
10454,8189.319999999999
10455,7738.629999999999
10456,6599.209999999999
10457,7437.45
10458,7698.75
10459,8205.050000000001
10460,8327.840000000002
10461,8969.869999999999
10462,8542.69
10463,7151.63
10464,7093.87
10465,8522.289999999999
10466,6452.080000000001
10467,7666.18
10468,8227.61
10469,6239.57
10470,8664.75
10471,6134.329999999998
10472,8002.449999999999
10473,7991.780000000001
10474,7866.0199999999995
10475,5402.780000000002
11004,5604.37
11101,6727.200000000001
11102,7788.370000000001
11103,7576.429999999999
11104,6561.29
11105,7245.120000000002
11106,7007.989999999999
11109,5032.3
11201,4252.42
11203,5492.779999999999
11204,7276.130000000001
11205,4793.500000000001
11206,6496.349999999999
11207,7424.31
11208,8462.28
11209,7482.83
11210,5841.33
11211,5493.42
11212,7557.439999999999
11213,6417.829999999999
11214,8402.81
11215,3541.8600000000006
11216,4999.510000000001
11217,4470.200000000001
11218,6462.52
11219,6004.5
11220,9147.82
11221,6409.569999999999
11222,6425.210000000001
11223,9213.25
11224,9863.68
11225,4962.28
11226,5751.12
11228,7818.48
11229,9343.779999999999
11230,9231.710000000001
11231,4379.749999999999
11232,8598.63
11233,5466.65
11234,6345.14
11235,12001.640000000001
11236,5538.6900000000005
11237,6831.17
11238,4679.84
11239,8324.179999999998
11354,7654.089999999999
11355,9601.409999999998
11356,9476.64
11357,8177.77
11358,6787.03
11360,6437.240000000001
11361,6583.11
11362,5424.91
11363,5448.909999999999
11364,5407.950000000001
11365,6637.0
11366,6193.660000000001
11367,7540.070000000002
11368,7406.91
11369,8894.449999999999
11370,7807.45
11372,7555.669999999999
11373,8181.709999999999
11374,8380.490000000002
11375,5913.009999999999
11377,8985.32
11378,8341.289999999999
11379,8436.960000000001
11385,8037.429999999999
11411,4902.200000000001
11412,5924.2699999999995
11413,5577.81
11414,8410.210000000001
11415,6994.099999999999
11416,9185.429999999998
11417,9677.42
11418,8431.430000000002
11419,9895.880000000001
11420,9028.929999999998
11421,9348.429999999998
11422,6292.25
11423,7171.200000000001
11426,6739.88
11427,7364.4
11428,7792.950000000002
11429,6828.650000000001
11432,7494.08
11433,6815.099999999999
11434,6003.299999999999
11435,7455.299999999999
11436,7618.799999999999
11691,7113.78
11692,5830.02
11693,6518.23
11694,7006.95
11697,11583.99
