ZCTA,Total
ZCTA5 06390,58
ZCTA5 10001,"26,966"
ZCTA5 10002,"76,807"
ZCTA5 10003,"54,447"
ZCTA5 10004,"4,795"
ZCTA5 10005,"8,637"
ZCTA5 10006,"3,894"
ZCTA5 10007,"8,194"
ZCTA5 10009,"60,000"
ZCTA5 10010,"33,193"
ZCTA5 10011,"51,867"
ZCTA5 10012,"22,269"
ZCTA5 10013,"29,563"
ZCTA5 10014,"29,815"
ZCTA5 10016,"56,758"
ZCTA5 10017,"15,514"
ZCTA5 10018,"8,063"
ZCTA5 10019,"43,989"
ZCTA5 10020,0
ZCTA5 10021,"42,484"
ZCTA5 10022,"33,303"
ZCTA5 10023,"65,891"
ZCTA5 10024,"63,916"
ZCTA5 10025,"96,918"
ZCTA5 10026,"39,401"
ZCTA5 10027,"65,840"
ZCTA5 10028,"47,793"
ZCTA5 10029,"77,661"
ZCTA5 10030,"31,611"
ZCTA5 10031,"61,801"
ZCTA5 10032,"60,529"
ZCTA5 10033,"60,739"
ZCTA5 10034,"43,365"
ZCTA5 10035,"37,042"
ZCTA5 10036,"30,437"
ZCTA5 10037,"19,374"
ZCTA5 10038,"23,356"
ZCTA5 10039,"27,234"
ZCTA5 10040,"45,771"
ZCTA5 10044,"12,155"
ZCTA5 10065,"31,270"
ZCTA5 10069,"5,774"
ZCTA5 10075,"23,391"
ZCTA5 10103,0
ZCTA5 10110,0
ZCTA5 10111,0
ZCTA5 10112,0
ZCTA5 10115,0
ZCTA5 10119,0
ZCTA5 10128,"58,147"
ZCTA5 10152,0
ZCTA5 10153,0
ZCTA5 10154,0
ZCTA5 10162,"2,268"
ZCTA5 10165,0
ZCTA5 10167,0
ZCTA5 10168,0
ZCTA5 10169,0
ZCTA5 10170,0
ZCTA5 10171,0
ZCTA5 10172,0
ZCTA5 10173,0
ZCTA5 10174,0
ZCTA5 10177,0
ZCTA5 10199,0
ZCTA5 10271,0
ZCTA5 10278,0
ZCTA5 10279,131
ZCTA5 10280,"8,582"
ZCTA5 10282,"6,419"
ZCTA5 10301,"38,736"
ZCTA5 10302,"18,144"
ZCTA5 10303,"27,469"
ZCTA5 10304,"43,849"
ZCTA5 10305,"44,531"
ZCTA5 10306,"55,805"
ZCTA5 10307,"14,828"
ZCTA5 10308,"30,353"
ZCTA5 10309,"35,832"
ZCTA5 10310,"25,976"
ZCTA5 10311,0
ZCTA5 10312,"63,935"
ZCTA5 10314,"93,736"
ZCTA5 10451,"50,118"
ZCTA5 10452,"79,838"
ZCTA5 10453,"80,393"
ZCTA5 10454,"38,908"
ZCTA5 10455,"42,781"
ZCTA5 10456,"90,314"
ZCTA5 10457,"79,443"
ZCTA5 10458,"86,757"
ZCTA5 10459,"51,303"
ZCTA5 10460,"59,979"
ZCTA5 10461,"52,756"
ZCTA5 10462,"78,470"
ZCTA5 10463,"73,256"
ZCTA5 10464,"4,417"
ZCTA5 10465,"46,205"
ZCTA5 10466,"75,767"
ZCTA5 10467,"102,209"
ZCTA5 10468,"82,480"
ZCTA5 10469,"75,290"
ZCTA5 10470,"16,446"
ZCTA5 10471,"23,387"
ZCTA5 10472,"66,720"
ZCTA5 10473,"60,296"
ZCTA5 10474,"11,312"
ZCTA5 10475,"44,509"
ZCTA5 10501,"1,452"
ZCTA5 10502,"5,853"
ZCTA5 10503,71
ZCTA5 10504,"8,363"
ZCTA5 10505,"1,249"
ZCTA5 10506,"5,980"
ZCTA5 10507,"6,706"
ZCTA5 10509,"20,265"
ZCTA5 10510,"10,592"
ZCTA5 10511,"2,245"
ZCTA5 10512,"24,340"
ZCTA5 10514,"13,267"
ZCTA5 10516,"5,639"
ZCTA5 10517,485
ZCTA5 10518,938
ZCTA5 10519,157
ZCTA5 10520,"13,071"
ZCTA5 10522,"11,622"
ZCTA5 10523,"9,717"
ZCTA5 10524,"4,251"
ZCTA5 10526,"1,813"
ZCTA5 10527,594
ZCTA5 10528,"13,546"
ZCTA5 10530,"13,807"
ZCTA5 10532,"5,103"
ZCTA5 10533,"7,608"
ZCTA5 10535,339
ZCTA5 10536,"11,124"
ZCTA5 10537,"2,572"
ZCTA5 10538,"17,424"
ZCTA5 10540,206
ZCTA5 10541,"26,317"
ZCTA5 10542,0
ZCTA5 10543,"21,563"
ZCTA5 10545,149
ZCTA5 10546,"1,068"
ZCTA5 10547,"7,400"
ZCTA5 10548,"4,078"
ZCTA5 10549,"15,587"
ZCTA5 10550,"39,360"
ZCTA5 10552,"23,067"
ZCTA5 10553,"10,259"
ZCTA5 10560,"5,001"
ZCTA5 10562,"33,850"
ZCTA5 10566,"25,304"
ZCTA5 10567,"20,901"
ZCTA5 10570,"12,821"
ZCTA5 10573,"41,181"
ZCTA5 10576,"4,959"
ZCTA5 10577,"6,059"
ZCTA5 10578,"1,502"
ZCTA5 10579,"8,279"
ZCTA5 10580,"17,901"
ZCTA5 10583,"41,532"
ZCTA5 10588,"3,184"
ZCTA5 10589,"7,042"
ZCTA5 10590,"7,132"
ZCTA5 10591,"23,392"
ZCTA5 10594,"5,309"
ZCTA5 10595,"8,019"
ZCTA5 10596,951
ZCTA5 10597,755
ZCTA5 10598,"29,195"
ZCTA5 10601,"10,929"
ZCTA5 10603,"19,443"
ZCTA5 10604,"11,740"
ZCTA5 10605,"20,481"
ZCTA5 10606,"15,795"
ZCTA5 10607,"6,642"
ZCTA5 10701,"66,002"
ZCTA5 10703,"23,355"
ZCTA5 10704,"32,767"
ZCTA5 10705,"39,846"
ZCTA5 10706,"9,050"
ZCTA5 10707,"10,239"
ZCTA5 10708,"23,014"
ZCTA5 10709,"10,222"
ZCTA5 10710,"26,319"
ZCTA5 10801,"41,205"
ZCTA5 10803,"12,953"
ZCTA5 10804,"15,127"
ZCTA5 10805,"21,260"
ZCTA5 10901,"25,214"
ZCTA5 10910,0
ZCTA5 10911,12
ZCTA5 10913,"5,370"
ZCTA5 10914,452
ZCTA5 10915,68
ZCTA5 10916,"4,384"
ZCTA5 10917,"1,534"
ZCTA5 10918,"12,753"
ZCTA5 10919,"1,226"
ZCTA5 10920,"8,776"
ZCTA5 10921,"3,992"
ZCTA5 10922,901
ZCTA5 10923,"8,477"
ZCTA5 10924,"13,859"
ZCTA5 10925,"4,157"
ZCTA5 10926,"3,902"
ZCTA5 10927,"12,598"
ZCTA5 10928,"4,900"
ZCTA5 10930,"10,536"
ZCTA5 10931,"1,110"
ZCTA5 10932,27
ZCTA5 10933,279
ZCTA5 10940,"50,932"
ZCTA5 10941,"14,415"
ZCTA5 10950,"61,452"
ZCTA5 10952,"46,448"
ZCTA5 10953,0
ZCTA5 10954,"26,391"
ZCTA5 10956,"30,664"
ZCTA5 10958,"3,286"
ZCTA5 10960,"15,145"
ZCTA5 10962,"5,345"
ZCTA5 10963,"4,652"
ZCTA5 10964,"1,419"
ZCTA5 10965,"15,527"
ZCTA5 10968,"2,525"
ZCTA5 10969,"1,061"
ZCTA5 10970,"11,449"
ZCTA5 10973,"2,432"
ZCTA5 10974,"3,181"
ZCTA5 10975,62
ZCTA5 10976,"2,051"
ZCTA5 10977,"70,743"
ZCTA5 10979,0
ZCTA5 10980,"13,579"
ZCTA5 10983,"5,839"
ZCTA5 10984,"2,620"
ZCTA5 10985,207
ZCTA5 10986,"1,736"
ZCTA5 10987,"3,753"
ZCTA5 10988,722
ZCTA5 10989,"8,339"
ZCTA5 10990,"21,024"
ZCTA5 10992,"9,591"
ZCTA5 10993,"5,019"
ZCTA5 10994,"6,937"
ZCTA5 10996,"6,386"
ZCTA5 10998,"3,602"
ZCTA5 11001,"26,818"
ZCTA5 11003,"46,200"
ZCTA5 11004,"16,426"
ZCTA5 11005,"2,075"
ZCTA5 11010,"25,637"
ZCTA5 11020,"6,097"
ZCTA5 11021,"19,265"
ZCTA5 11023,"10,169"
ZCTA5 11024,"8,394"
ZCTA5 11030,"17,589"
ZCTA5 11040,"42,634"
ZCTA5 11042,443
ZCTA5 11050,"31,586"
ZCTA5 11096,"9,084"
ZCTA5 11101,"33,789"
ZCTA5 11102,"27,876"
ZCTA5 11103,"35,912"
ZCTA5 11104,"27,575"
ZCTA5 11105,"38,311"
ZCTA5 11106,"40,472"
ZCTA5 11109,"6,712"
ZCTA5 11201,"68,777"
ZCTA5 11203,"79,499"
ZCTA5 11204,"82,140"
ZCTA5 11205,"50,681"
ZCTA5 11206,"90,903"
ZCTA5 11207,"97,690"
ZCTA5 11208,"107,724"
ZCTA5 11209,"72,938"
